chromosome,gene_id,gene_symbol,P-value,Zscore,Direction,regulation,heterogeneity_I_squared,heterogeneity_Chi_squared,heterogeneity_degrees_of_freedom_squared,heterogeneity_P-value
14,ENSG00000100483,VCPKMT,0.09674,-1.661,--,Not differentially expressed,0,0.328,1,0.567
1,ENSG00000186283,TOR3A,0.09676,1.661,++,Not differentially expressed,26.7,1.364,1,0.2429
17,ENSG00000261873,SMIM36,0.09676,1.661,++,Not differentially expressed,0,0.12,1,0.7293
20,ENSG00000101413,RPRD1B,0.09677,-1.661,--,Not differentially expressed,0,0.953,1,0.3289
18,ENSG00000231824,AKAIN1,0.09688,-1.66,0-,Not differentially expressed,12.8,1.147,1,0.2842
7,ENSG00000223459,TCAF1P1,0.09693,-1.66,--,Not differentially expressed,0,0.001,1,0.9757
7,ENSG00000106305,AIMP2,0.09693,-1.66,--,Not differentially expressed,46.1,1.857,1,0.173
20,ENSG00000204556,AL450124.1,0.09699,1.66,++,Not differentially expressed,0,0.018,1,0.8924
1,ENSG00000126088,UROD,0.097,-1.66,--,Not differentially expressed,38.6,1.629,1,0.2018
19,ENSG00000167747,C19orf48,0.09707,-1.659,+-,Not differentially expressed,42.2,1.731,1,0.1883
10,ENSG00000235376,RPEL1,0.09707,-1.659,+-,Not differentially expressed,29.1,1.41,1,0.235
14,ENSG00000119698,PPP4R4,0.0973,-1.658,--,Not differentially expressed,0,0.045,1,0.8325
9,ENSG00000198435,NRARP,0.09737,-1.658,--,Not differentially expressed,0,0.966,1,0.3257
3,ENSG00000163512,AZI2,0.09743,-1.657,--,Not differentially expressed,0,0.343,1,0.5579
9,ENSG00000137055,PLAA,0.09746,-1.657,+-,Not differentially expressed,27,1.371,1,0.2417
1,ENSG00000224566,FAM96AP2,0.09753,-1.657,+-,Not differentially expressed,21.6,1.276,1,0.2587
1,ENSG00000043514,TRIT1,0.09758,-1.657,--,Not differentially expressed,0,0.446,1,0.5042
19,ENSG00000105650,PDE4C,0.09765,-1.656,--,Not differentially expressed,0,0.134,1,0.7148
4,ENSG00000145220,LYAR,0.09769,1.656,++,Not differentially expressed,0,0.046,1,0.8306
20,ENSG00000201728,RNA5SP479,0.09769,-1.656,0-,Not differentially expressed,12.4,1.141,1,0.2854
12,ENSG00000180881,CAPS2,0.0977,-1.656,--,Not differentially expressed,0,0.69,1,0.4061
5,ENSG00000134056,MRPS36,0.09771,-1.656,--,Not differentially expressed,1.6,1.016,1,0.3134
5,ENSG00000213949,ITGA1,0.09777,1.656,++,Not differentially expressed,0,0.641,1,0.4233
1,ENSG00000162642,C1orf52,0.09784,-1.655,--,Not differentially expressed,21.3,1.271,1,0.2596
21,ENSG00000182871,COL18A1,0.09811,1.654,++,Not differentially expressed,0,0.119,1,0.7299
5,ENSG00000120708,TGFBI,0.09813,1.654,++,Not differentially expressed,0,0.443,1,0.5056
2,ENSG00000116030,SUMO1,0.09813,-1.654,--,Not differentially expressed,46.2,1.858,1,0.1728
3,ENSG00000182606,TRAK1,0.09816,1.654,++,Not differentially expressed,44.8,1.81,1,0.1785
1,ENSG00000175087,PDIK1L,0.09826,-1.653,--,Not differentially expressed,28.8,1.404,1,0.236
6,ENSG00000216360,AL136968.1,0.09826,-1.653,--,Not differentially expressed,0,0.68,1,0.4096
12,ENSG00000256667,KLRA1P,0.09827,-1.653,--,Not differentially expressed,0,0.807,1,0.3691
20,ENSG00000132640,BTBD3,0.09838,-1.653,--,Not differentially expressed,0,0.095,1,0.7583
10,ENSG00000148848,ADAM12,0.09845,1.652,++,Not differentially expressed,0,0.66,1,0.4165
17,ENSG00000136457,CHAD,0.09851,1.652,++,Not differentially expressed,62.9,2.692,1,0.1008
19,ENSG00000125740,FOSB,0.09851,-1.652,+-,Not differentially expressed,70,3.335,1,0.06782
7,ENSG00000091073,DTX2,0.09854,1.652,++,Not differentially expressed,11.2,1.126,1,0.2886
19,ENSG00000099338,CATSPERG,0.09856,1.652,++,Not differentially expressed,0,0.021,1,0.8846
X,ENSG00000237025,AL121601.2,0.09857,1.652,++,Not differentially expressed,0,0.617,1,0.4321
X,ENSG00000134590,RTL8C,0.09858,-1.652,+-,Not differentially expressed,83.7,6.14,1,0.01322
7,ENSG00000006377,DLX6,0.09858,-1.652,+-,Not differentially expressed,57.1,2.333,1,0.1267
11,ENSG00000149582,TMEM25,0.09859,-1.652,--,Not differentially expressed,0,0.486,1,0.4857
2,ENSG00000260622,AC073476.2,0.09861,-1.652,+-,Not differentially expressed,69.5,3.282,1,0.07004
15,ENSG00000276550,HERC2P2,0.09865,1.651,++,Not differentially expressed,0,0.16,1,0.6893
12,ENSG00000111196,MAGOHB,0.09869,-1.651,--,Not differentially expressed,46.6,1.873,1,0.1712
14,ENSG00000239510,RPL9P5,0.09871,-1.651,0-,Not differentially expressed,11.8,1.134,1,0.2869
1,ENSG00000203710,CR1,0.09876,1.651,++,Not differentially expressed,0,0.333,1,0.5641
18,ENSG00000186812,ZNF397,0.09879,1.651,++,Not differentially expressed,59.8,2.49,1,0.1146
3,ENSG00000058056,USP13,0.09881,-1.651,+-,Not differentially expressed,84.8,6.563,1,0.01041
7,ENSG00000106003,LFNG,0.09881,1.651,++,Not differentially expressed,0,0.042,1,0.8377
7,ENSG00000136273,HUS1,0.0989,1.65,++,Not differentially expressed,48.1,1.925,1,0.1653
5,ENSG00000285000,AC008581.2,0.09892,1.65,++,Not differentially expressed,0,0.918,1,0.3379
13,ENSG00000228808,HMGB3P4,0.09892,1.65,++,Not differentially expressed,0,0.125,1,0.7233
13,ENSG00000168852,TPTE2P5,0.09895,-1.65,--,Not differentially expressed,0,0.074,1,0.7859
11,ENSG00000135378,PRRG4,0.09898,1.65,++,Not differentially expressed,0,0.83,1,0.3622
17,ENSG00000173762,CD7,0.09898,1.65,0+,Not differentially expressed,11.7,1.133,1,0.2872
11,ENSG00000077458,FAM76B,0.09905,-1.649,--,Not differentially expressed,32.7,1.486,1,0.2228
14,ENSG00000181619,GPR135,0.09921,-1.649,+-,Not differentially expressed,49,1.961,1,0.1614
1,ENSG00000127423,AUNIP,0.09925,-1.649,--,Not differentially expressed,0,0.858,1,0.3544
12,ENSG00000166881,NEMP1,0.09927,-1.648,--,Not differentially expressed,0,0.015,1,0.9016
17,ENSG00000173821,RNF213,0.09931,1.648,++,Not differentially expressed,42.2,1.729,1,0.1886
12,ENSG00000139053,PDE6H,0.09939,-1.648,0-,Not differentially expressed,11.5,1.13,1,0.2878
14,ENSG00000156030,ELMSAN1,0.09951,1.647,++,Not differentially expressed,53.7,2.158,1,0.1418
1,ENSG00000135778,NTPCR,0.09955,-1.647,--,Not differentially expressed,5.3,1.056,1,0.3041
15,ENSG00000182256,GABRG3,0.09956,-1.647,--,Not differentially expressed,0,0.479,1,0.4889
2,ENSG00000214711,CAPN14,0.09962,-1.647,--,Not differentially expressed,0,0.018,1,0.8922
1,ENSG00000225492,GBP1P1,0.09962,1.647,++,Not differentially expressed,54.8,2.211,1,0.1371
1,ENSG00000117114,ADGRL2,0.09964,-1.647,--,Not differentially expressed,0,0.539,1,0.4627
13,ENSG00000068650,ATP11A,0.09973,1.646,++,Not differentially expressed,54.3,2.189,1,0.139
17,ENSG00000243678,NME2,0.09974,-1.646,--,Not differentially expressed,48.4,1.937,1,0.164
17,ENSG00000205899,BHLHA9,0.09979,-1.646,0-,Not differentially expressed,11.3,1.127,1,0.2884
12,ENSG00000166888,STAT6,0.09981,1.646,++,Not differentially expressed,0,0.74,1,0.3896
19,ENSG00000064607,SUGP2,0.09988,-1.645,--,Not differentially expressed,0,0.448,1,0.5031
16,ENSG00000179918,SEPHS2,0.09988,-1.645,--,Not differentially expressed,0,0.006,1,0.9374
X,ENSG00000233139,AC244636.2,0.0999,1.645,++,Not differentially expressed,79.4,4.861,1,0.02747
10,ENSG00000166167,BTRC,0.09993,-1.645,--,Not differentially expressed,0,0.009,1,0.9248
13,ENSG00000152207,CYSLTR2,0.09994,1.645,++,Not differentially expressed,0,0.157,1,0.6915
13,ENSG00000185896,LAMP1,0.09998,1.645,++,Not differentially expressed,0,0.64,1,0.4236
17,ENSG00000182853,VMO1,0.1,1.645,0+,Not differentially expressed,11.2,1.126,1,0.2887
11,ENSG00000186660,ZFP91,0.1001,1.645,-+,Not differentially expressed,40.8,1.689,1,0.1938
19,ENSG00000037757,MRI1,0.1001,-1.645,--,Not differentially expressed,0,0.29,1,0.59
22,ENSG00000099958,DERL3,0.1002,-1.644,0-,Not differentially expressed,11.1,1.125,1,0.2889
1,ENSG00000185104,FAF1,0.1002,-1.644,--,Not differentially expressed,14.8,1.174,1,0.2787
19,ENSG00000011243,AKAP8L,0.1002,1.644,++,Not differentially expressed,0,0.394,1,0.5301
4,ENSG00000138646,HERC5,0.1002,1.644,++,Not differentially expressed,0,0.027,1,0.8689
15,ENSG00000243789,JMJD7,0.1002,1.644,++,Not differentially expressed,0,0.636,1,0.4251
12,ENSG00000172243,CLEC7A,0.1002,1.644,++,Not differentially expressed,0,0.095,1,0.7578
11,ENSG00000175591,P2RY2,0.1003,1.644,++,Not differentially expressed,0,0.598,1,0.4392
22,ENSG00000100220,RTCB,0.1003,-1.643,--,Not differentially expressed,22.4,1.289,1,0.2562
12,ENSG00000129317,PUS7L,0.1003,-1.644,--,Not differentially expressed,33.9,1.513,1,0.2186
6,ENSG00000223389,SDCBP2P1,0.1004,-1.643,0-,Not differentially expressed,11,1.123,1,0.2893
1,ENSG00000157870,PRXL2B,0.1004,-1.643,--,Not differentially expressed,0,0.298,1,0.5852
17,ENSG00000262902,MTCO1P40,0.1004,1.643,0+,Not differentially expressed,11,1.123,1,0.2893
10,ENSG00000203414,BTBD7P1,0.1004,1.643,++,Not differentially expressed,72.2,3.598,1,0.05785
X,ENSG00000160219,GAB3,0.1005,1.642,++,Not differentially expressed,0,0.052,1,0.8196
12,ENSG00000172819,RARG,0.1005,1.642,++,Not differentially expressed,0,0.28,1,0.5966
10,ENSG00000241935,HOGA1,0.1006,1.642,++,Not differentially expressed,0,0.299,1,0.5847
1,ENSG00000134243,SORT1,0.1006,1.642,++,Not differentially expressed,0,0.012,1,0.9138
20,ENSG00000125846,ZNF133,0.1007,-1.641,--,Not differentially expressed,0,0.845,1,0.3578
20,ENSG00000283443,AC018688.1,0.1007,-1.641,--,Not differentially expressed,0,0.345,1,0.5569
4,ENSG00000251111,FCF1P8,0.1008,-1.641,0-,Not differentially expressed,10.7,1.12,1,0.2898
X,ENSG00000147274,RBMX,0.1008,-1.641,--,Not differentially expressed,0,0.394,1,0.5303
4,ENSG00000185049,NELFA,0.1008,1.641,++,Not differentially expressed,30.8,1.445,1,0.2294
5,ENSG00000214944,ARHGEF28,0.1009,-1.641,--,Not differentially expressed,0,0.203,1,0.6527
19,ENSG00000105664,COMP,0.1009,1.64,++,Not differentially expressed,0,0.672,1,0.4125
19,ENSG00000090932,DLL3,0.1009,-1.64,--,Not differentially expressed,21.8,1.279,1,0.2582
7,ENSG00000169919,GUSB,0.101,1.64,++,Not differentially expressed,0,0.034,1,0.8539
1,ENSG00000117408,IPO13,0.101,1.64,++,Not differentially expressed,0,0.183,1,0.6686
18,ENSG00000049759,NEDD4L,0.101,-1.64,--,Not differentially expressed,0,0.04,1,0.8416
1,ENSG00000160051,IQCC,0.1011,-1.64,+-,Not differentially expressed,84.2,6.338,1,0.01182
5,ENSG00000178338,ZNF354B,0.1011,1.639,++,Not differentially expressed,0,0.006,1,0.9381
2,ENSG00000172878,METAP1D,0.1012,-1.639,--,Not differentially expressed,0,0.049,1,0.8246
19,ENSG00000214046,SMIM7,0.1012,-1.639,--,Not differentially expressed,32.5,1.482,1,0.2235
2,ENSG00000144278,GALNT13,0.1012,-1.639,--,Not differentially expressed,46.9,1.882,1,0.1701
9,ENSG00000107201,DDX58,0.1013,1.639,++,Not differentially expressed,0,0.752,1,0.3859
11,ENSG00000175634,RPS6KB2,0.1013,1.639,++,Not differentially expressed,7,1.075,1,0.2998
15,ENSG00000206149,HERC2P9,0.1014,1.638,++,Not differentially expressed,0,0.199,1,0.6553
X,ENSG00000004961,HCCS,0.1014,-1.638,--,Not differentially expressed,0,0.109,1,0.7408
17,ENSG00000236383,CCDC200,0.1014,1.638,++,Not differentially expressed,0,0.832,1,0.3617
X,ENSG00000179222,MAGED1,0.1015,-1.638,--,Not differentially expressed,0,0.596,1,0.44
9,ENSG00000228278,ORM2,0.1015,1.638,0+,Not differentially expressed,10.4,1.116,1,0.2908
15,ENSG00000277865,GOLGA6L22,0.1015,-1.638,--,Not differentially expressed,0,0.931,1,0.3345
6,ENSG00000091844,RGS17,0.1017,-1.637,--,Not differentially expressed,47,1.887,1,0.1696
X,ENSG00000067840,PDZD4,0.1017,-1.636,+-,Not differentially expressed,39.1,1.643,1,0.1999
2,ENSG00000178162,FAR2P2,0.1017,-1.637,+-,Not differentially expressed,24.2,1.32,1,0.2506
17,ENSG00000161395,PGAP3,0.1018,-1.636,--,Not differentially expressed,0,0.374,1,0.5409
4,ENSG00000145332,KLHL8,0.1018,-1.636,--,Not differentially expressed,13.8,1.16,1,0.2816
19,ENSG00000188425,NANOS2,0.1019,1.636,0+,Not differentially expressed,10.2,1.113,1,0.2914
10,ENSG00000122378,PRXL2A,0.1019,-1.636,--,Not differentially expressed,8.3,1.09,1,0.2964
22,ENSG00000099910,KLHL22,0.1019,-1.635,+-,Not differentially expressed,43.5,1.77,1,0.1833
15,ENSG00000185551,NR2F2,0.1019,1.635,++,Not differentially expressed,47.2,1.894,1,0.1688
14,ENSG00000053770,AP5M1,0.1019,-1.636,--,Not differentially expressed,0,0.475,1,0.4905
3,ENSG00000240661,AC063952.1,0.102,1.635,++,Not differentially expressed,0,0.342,1,0.5584
8,ENSG00000165084,C8orf34,0.102,-1.635,--,Not differentially expressed,0,0.002,1,0.9669
12,ENSG00000257763,OR5BK1P,0.102,-1.635,--,Not differentially expressed,0,0.716,1,0.3974
19,ENSG00000197714,ZNF460,0.102,-1.635,--,Not differentially expressed,40.8,1.688,1,0.1939
17,ENSG00000185813,PCYT2,0.1021,-1.635,--,Not differentially expressed,0,0.642,1,0.4231
7,ENSG00000161057,PSMC2,0.1022,-1.634,--,Not differentially expressed,9.8,1.108,1,0.2925
15,ENSG00000172379,ARNT2,0.1022,-1.634,+-,Not differentially expressed,11.8,1.134,1,0.2869
11,ENSG00000110429,FBXO3,0.1023,-1.634,--,Not differentially expressed,39,1.64,1,0.2004
13,ENSG00000139675,HNRNPA1L2,0.1023,1.634,++,Not differentially expressed,48.2,1.931,1,0.1646
5,ENSG00000158402,CDC25C,0.1023,-1.634,0-,Not differentially expressed,9.9,1.11,1,0.292
2,ENSG00000152117,AC073869.1,0.1024,1.633,++,Not differentially expressed,0,0.945,1,0.331
3,ENSG00000114030,KPNA1,0.1025,-1.633,--,Not differentially expressed,0,0.085,1,0.7701
17,ENSG00000108684,ASIC2,0.1025,-1.633,--,Not differentially expressed,0,0.033,1,0.8549
8,ENSG00000104671,DCTN6,0.1025,-1.633,--,Not differentially expressed,63.1,2.712,1,0.09958
2,ENSG00000115593,SMYD1,0.1026,1.632,-+,Not differentially expressed,46.8,1.88,1,0.1703
12,ENSG00000136048,DRAM1,0.1027,1.632,-+,Not differentially expressed,12.5,1.143,1,0.2851
1,ENSG00000116990,MYCL,0.1027,-1.632,--,Not differentially expressed,0,0.062,1,0.8027
8,ENSG00000104320,NBN,0.1028,-1.631,--,Not differentially expressed,20.6,1.26,1,0.2617
12,ENSG00000139329,LUM,0.1028,1.632,++,Not differentially expressed,0,0.11,1,0.74
X,ENSG00000185825,BCAP31,0.1028,-1.631,--,Not differentially expressed,0,0.059,1,0.8083
2,ENSG00000118997,DNAH7,0.1028,-1.631,--,Not differentially expressed,0,0.046,1,0.8306
12,ENSG00000059758,CDK17,0.1029,-1.631,--,Not differentially expressed,0,0.486,1,0.4856
3,ENSG00000205835,GMNC,0.1029,1.631,++,Not differentially expressed,13.7,1.159,1,0.2817
X,ENSG00000185448,FAM47A,0.103,-1.63,--,Not differentially expressed,0,0.146,1,0.7027
7,ENSG00000146802,TMEM168,0.103,-1.63,--,Not differentially expressed,0,0.443,1,0.5058
14,ENSG00000205659,LIN52,0.103,-1.631,--,Not differentially expressed,69.5,3.283,1,0.07001
12,ENSG00000139405,RITA1,0.1031,-1.63,--,Not differentially expressed,0,0.01,1,0.9188
1,ENSG00000232456,AL355994.2,0.1031,1.63,0+,Not differentially expressed,9.6,1.106,1,0.293
17,ENSG00000264058,AC073508.2,0.1031,-1.63,+-,Not differentially expressed,40.6,1.683,1,0.1945
12,ENSG00000123338,NCKAP1L,0.1034,1.629,++,Not differentially expressed,55.2,2.234,1,0.135
19,ENSG00000141867,BRD4,0.1034,1.628,++,Not differentially expressed,52.7,2.113,1,0.146
11,ENSG00000149177,PTPRJ,0.1034,1.629,++,Not differentially expressed,0,0.001,1,0.981
19,ENSG00000069399,BCL3,0.1034,1.629,++,Not differentially expressed,0,0.953,1,0.329
9,ENSG00000122692,SMU1,0.1034,-1.628,--,Not differentially expressed,47.5,1.903,1,0.1677
2,ENSG00000230783,AC009961.3,0.1034,-1.629,0-,Not differentially expressed,9.4,1.104,1,0.2935
8,ENSG00000147437,GNRH1,0.1035,1.628,-+,Not differentially expressed,13.6,1.158,1,0.2819
14,ENSG00000211899,IGHM,0.1036,1.628,0+,Not differentially expressed,9.3,1.102,1,0.2938
11,ENSG00000255403,AP000641.1,0.1036,-1.628,+-,Not differentially expressed,37,1.587,1,0.2077
19,ENSG00000185792,NLRP9,0.1036,-1.628,0-,Not differentially expressed,9.3,1.102,1,0.2938
13,ENSG00000184564,SLITRK6,0.1036,-1.628,0-,Not differentially expressed,9.3,1.102,1,0.2938
6,ENSG00000010030,ETV7,0.1037,-1.627,--,Not differentially expressed,0,0.79,1,0.3741
7,ENSG00000236015,AC011290.2,0.1037,-1.627,--,Not differentially expressed,0,0.036,1,0.8505
X,ENSG00000181433,SAGE1,0.1037,1.627,0+,Not differentially expressed,9.2,1.102,1,0.2939
6,ENSG00000197062,ZSCAN26,0.1038,-1.627,--,Not differentially expressed,0,0.121,1,0.7277
16,ENSG00000103426,CORO7-PAM16,0.1038,1.627,0+,Not differentially expressed,9.2,1.101,1,0.2941
11,ENSG00000255445,AP003072.2,0.1039,-1.626,--,Not differentially expressed,0,0.608,1,0.4356
7,ENSG00000157212,PAXIP1,0.1039,1.626,++,Not differentially expressed,0,0.669,1,0.4136
20,ENSG00000149646,CNBD2,0.104,1.626,++,Not differentially expressed,0,0.923,1,0.3366
5,ENSG00000132842,AP3B1,0.104,1.626,++,Not differentially expressed,0,0.604,1,0.437
20,ENSG00000101210,EEF1A2,0.1041,-1.625,+-,Not differentially expressed,48.3,1.933,1,0.1644
17,ENSG00000262165,AC233723.1,0.1042,-1.625,0-,Not differentially expressed,8.9,1.098,1,0.2947
6,ENSG00000243753,HLA-L,0.1042,-1.625,+-,Not differentially expressed,17.5,1.212,1,0.2709
12,ENSG00000166006,KCNC2,0.1042,-1.625,--,Not differentially expressed,0,0.179,1,0.6721
20,ENSG00000203883,SOX18,0.1043,1.624,++,Not differentially expressed,0,0.44,1,0.5072
X,ENSG00000079482,OPHN1,0.1043,1.624,++,Not differentially expressed,0,1,1,0.3173
1,ENSG00000224680,PLA2G12AP1,0.1043,-1.624,0-,Not differentially expressed,8.9,1.098,1,0.2948
19,ENSG00000105063,PPP6R1,0.1044,1.624,++,Not differentially expressed,29.3,1.414,1,0.2344
4,ENSG00000182168,UNC5C,0.1044,1.624,++,Not differentially expressed,0,0.05,1,0.8231
19,ENSG00000130726,TRIM28,0.1044,1.624,++,Not differentially expressed,0,0.681,1,0.4092
14,ENSG00000165929,TC2N,0.1045,-1.624,--,Not differentially expressed,74.2,3.879,1,0.04888
X,ENSG00000241489,AC244197.3,0.1045,-1.624,+-,Not differentially expressed,81.1,5.3,1,0.02132
4,ENSG00000109654,TRIM2,0.1045,-1.623,--,Not differentially expressed,27.5,1.38,1,0.2402
14,ENSG00000131951,LRRC9,0.1045,-1.624,--,Not differentially expressed,0,0.005,1,0.9435
12,ENSG00000181852,RNF41,0.1046,-1.623,--,Not differentially expressed,0,0.083,1,0.7734
20,ENSG00000231307,RPS3P2,0.1046,-1.623,--,Not differentially expressed,0,0.129,1,0.7194
12,ENSG00000139083,ETV6,0.1046,1.623,++,Not differentially expressed,61,2.563,1,0.1094
17,ENSG00000272636,DOC2B,0.1047,-1.622,--,Not differentially expressed,0,0,1,0.9918
6,ENSG00000124641,MED20,0.1047,1.622,++,Not differentially expressed,0,0.351,1,0.5534
3,ENSG00000163630,SYNPR,0.1047,-1.622,--,Not differentially expressed,0,0.156,1,0.6929
16,ENSG00000260012,AC007494.1,0.1049,-1.622,--,Not differentially expressed,0,0.643,1,0.4225
16,ENSG00000159761,C16orf86,0.1049,1.622,-+,Not differentially expressed,64.3,2.802,1,0.09413
17,ENSG00000108823,SGCA,0.1049,1.622,++,Not differentially expressed,0,0.087,1,0.7685
12,ENSG00000010626,LRRC23,0.1051,1.62,++,Not differentially expressed,0,0.646,1,0.4214
3,ENSG00000129810,SGO1,0.1052,1.62,++,Not differentially expressed,0,0.087,1,0.7678
9,ENSG00000107282,APBA1,0.1052,-1.62,--,Not differentially expressed,8.2,1.09,1,0.2965
3,ENSG00000114547,ROPN1B,0.1052,-1.62,--,Not differentially expressed,72.4,3.63,1,0.05676
2,ENSG00000180228,PRKRA,0.1052,-1.62,--,Not differentially expressed,0,0.686,1,0.4076
21,ENSG00000159131,GART,0.1052,-1.62,+-,Not differentially expressed,63.4,2.735,1,0.09817
16,ENSG00000103269,RHBDL1,0.1053,-1.62,--,Not differentially expressed,38.7,1.63,1,0.2017
14,ENSG00000029364,SLC39A9,0.1054,-1.619,--,Not differentially expressed,50.7,2.027,1,0.1545
2,ENSG00000115234,SNX17,0.1054,-1.619,--,Not differentially expressed,0,0.098,1,0.7547
10,ENSG00000095627,TDRD1,0.1054,-1.619,--,Not differentially expressed,0,0.044,1,0.8337
4,ENSG00000164162,ANAPC10,0.1055,-1.619,--,Not differentially expressed,70.5,3.393,1,0.06548
1,ENSG00000215717,TMEM167B,0.1055,-1.619,--,Not differentially expressed,3.4,1.035,1,0.309
13,ENSG00000198176,TFDP1,0.1055,1.619,++,Not differentially expressed,30.8,1.445,1,0.2293
16,ENSG00000168925,CTRB1,0.1055,1.619,0+,Not differentially expressed,8.3,1.09,1,0.2964
6,ENSG00000124562,SNRPC,0.1056,-1.618,--,Not differentially expressed,0,0.354,1,0.5518
9,ENSG00000148175,STOM,0.1056,1.618,++,Not differentially expressed,0,0.001,1,0.9772
19,ENSG00000172009,THOP1,0.1057,-1.618,--,Not differentially expressed,24.9,1.331,1,0.2486
7,ENSG00000005249,PRKAR2B,0.1057,-1.618,--,Not differentially expressed,0,0.61,1,0.4349
3,ENSG00000236980,C3orf84,0.1058,-1.617,0-,Not differentially expressed,8.1,1.088,1,0.2968
11,ENSG00000254838,GVINP1,0.1058,-1.618,--,Not differentially expressed,32,1.471,1,0.2252
12,ENSG00000013588,GPRC5A,0.1059,1.617,++,Not differentially expressed,0,0.315,1,0.5744
1,ENSG00000132196,HSD17B7,0.1059,1.617,-+,Not differentially expressed,59.3,2.455,1,0.1171
9,ENSG00000275318,AL136981.2,0.106,-1.616,--,Not differentially expressed,0,0.461,1,0.4973
19,ENSG00000075702,WDR62,0.106,1.616,++,Not differentially expressed,0,0.253,1,0.6147
6,ENSG00000164626,KCNK5,0.106,-1.617,0-,Not differentially expressed,8,1.087,1,0.2971
MT,ENSG00000198695,MT-ND6,0.106,1.617,++,Not differentially expressed,0,0.058,1,0.8097
